Time	Step	Training loss	Validation loss
16:21:57	621	0.0000	0.0000
16:21:23	611	4.9706	0.0000
16:20:53	601	0.0000	0.0000
16:20:33	591	0.0000	0.0000
16:20:10	581	0.0000	0.0000
16:19:45	571	5.9549	0.0000
16:19:24	561	0.0000	6.3323
16:18:50	551	0.0000	5.1895
16:18:29	541	0.0000	0.0000
16:18:06	531	5.8712	3.6911
16:17:46	521	0.0000	0.0000
16:17:25	511	0.0000	0.0000
16:17:04	501	0.0000	5.4105
16:16:41	491	0.0000	0.0000
16:16:21	481	0.0000	0.0000
16:16:00	471	0.0000	7.7725
16:15:40	461	0.0000	0.0000
16:15:19	451	0.0000	0.0000
16:14:56	441	0.0003	6.0694
16:14:36	431	7.5748	0.0000
16:14:17	421	0.0000	5.1195
16:13:52	411	0.0000	0.0000
16:13:31	401	4.6988	0.0000
16:13:11	391	0.0000	0.0000
16:12:50	381	0.0000	0.0001
16:12:29	371	0.0004	3.9775
16:12:08	361	0.0234	0.0000
16:11:46	351	0.0000	0.2952
16:11:25	341	0.0000	0.0001
16:11:04	331	0.0003	0.0000
16:10:44	321	3.8547	0.0000
16:10:23	311	0.0002	0.0000
16:10:00	301	0.0000	0.0000
16:09:40	291	0.0000	0.0000
16:09:19	281	0.0000	5.5175
16:08:58	271	0.0000	0.0000
16:08:38	261	0.0000	0.0008
16:08:17	251	5.3157	5.1396
16:07:57	241	0.0000	0.0000
16:07:34	231	0.0000	0.0000
16:07:13	221	0.0000	1.0302
16:06:52	211	4.5235	0.0003
16:06:32	201	0.0001	0.0000
16:06:09	191	0.0000	0.0000
16:05:48	181	0.0000	0.0000
16:05:28	171	0.0000	0.0000
16:04:58	161	4.0398	0.0000
16:04:37	151	3.0567	0.0000
16:04:17	141	4.5376	0.0000
16:03:54	131	0.0000	0.0000
16:03:33	121	0.0000	0.0000
16:03:13	111	0.0000	0.5595
16:02:52	101	0.0000	0.0015
16:02:29	91	0.0000	0.0000
16:02:08	81	3.5221	1.4982
16:01:48	71	0.0000	0.0000
16:01:27	61	0.0000	0.0000
16:01:06	51	0.0212	0.2956
16:00:45	41	0.0013	0.0005
16:00:25	31	0.0271	0.0098
15:59:57	21	3.1001	1.5390
15:59:36	11	7.4854	5.3313
15:59:02	1	9.3697	9.8509